feature,importance
Year,0.11682243619824823
team_power_difference,0.11000784158830121
Attendance,0.09919836334386181
away_team_power,0.07818664818249096
home_team_power,0.06989947240934796
recent_goals_difference,0.06704191214434325
points_difference,0.06665948844611234
ranking_difference,0.064272736194197
recent_defense_difference,0.06383227397636423
form_score_difference,0.059664281725023714
away_recent_form_score,0.054806986500231566
away_rank,0.05143383389764984
home_recent_form_score,0.049438796302527996
home_rank,0.04873492909129983
