home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
Austria,Hungary,23000,Quarter-finals,Italy,1934,1934-05-31,2,1,home_win,,,,,,,,,63.952364230769234,57.00994596153846,6.942418269230771,1,0,0,3,2,3,1,0,0,4,2,3,0,-1,0
Italy,Spain,43000,Quarter-finals,Italy,1934,1934-06-01,1,0,home_win,,,,,,,,,68.45827307692308,71.50423846153845,-3.045965384615372,1,1,0,8,2,4,1,1,0,4,2,4,0,4,0
Czechoslovakia,Germany,15000,Semi-finals,Italy,1934,1934-06-03,3,1,home_win,,,,,,,,,,69.83241730769232,,2,0,0,5,3,6,2,0,0,7,3,6,0,-2,0
Italy,Austria,35000,Semi-finals,Italy,1934,1934-06-03,1,0,home_win,,,,,,,,,68.45827307692308,63.952364230769234,4.505908846153844,2,1,0,9,2,7,2,0,0,5,3,6,1,4,1
Germany,Austria,7000,Third-place match,Italy,1934,1934-06-07,3,2,home_win,,,,,,,,,69.83241730769232,63.952364230769234,5.88005307692309,2,0,1,8,6,6,2,0,1,5,4,6,0,3,-2
Italy,Czechoslovakia,55000,Final,Italy,1934,1934-06-10,2,1,home_win,,,,,,,,,68.45827307692308,,,3,1,0,10,2,10,3,0,0,8,4,9,1,2,2
Switzerland,Germany,27152,Round of 16,France,1938,1938-06-04,1,1,draw,,,,,,,,,64.68190576923077,69.83241730769232,-5.150511538461558,1,0,1,5,5,3,3,0,1,11,8,9,-6,-6,3
Czechoslovakia,Netherlands,11000,Round of 16,France,1938,1938-06-05,3,0,home_win,,,,,,,,,,66.82286346153847,,3,0,1,9,6,9,0,0,1,2,3,0,9,7,-3
Brazil,Poland,13452,Round of 16,France,1938,1938-06-05,6,5,home_win,,,,,,,,,71.18102653846155,61.76560730769231,9.415419230769244,1,0,2,6,5,3,0,0,0,0,0,0,3,6,-5
France,Belgium,30454,Round of 16,France,1938,1938-06-05,3,1,home_win,,,,,,,,,69.714,67.93338076923077,1.7806192307692328,1,0,3,6,6,3,0,0,3,2,9,0,3,4,3
Hungary,Dutch East Indies,9000,Round of 16,France,1938,1938-06-05,6,0,home_win,,,,,,,,,57.00994596153846,,,1,0,1,5,4,3,0,0,0,0,0,0,3,5,-4
Cuba,Romania,7000,Round of 16,France,1938,1938-06-05,3,3,draw,,,,,,,,,50.42030499999999,59.02940903846154,-8.609104038461545,0,0,0,0,0,0,1,0,2,4,7,3,-3,-4,7
Italy,Norway,19000,Round of 16,France,1938,1938-06-05,2,1,home_win,,,,,,,,,68.45827307692308,61.37427692307692,7.083996153846158,4,1,0,12,3,13,0,0,0,0,0,0,13,12,-3
Cuba,Romania,8000,Round of 16,France,1938,1938-06-09,2,1,home_win,,,,,,,,,50.42030499999999,59.02940903846154,-8.609104038461545,0,1,0,3,3,1,1,1,2,7,10,4,-3,-4,7
Switzerland,Germany,20025,Round of 16,France,1938,1938-06-09,4,2,home_win,,,,,,,,,64.68190576923077,69.83241730769232,-5.150511538461558,1,1,1,6,6,4,3,1,1,12,9,10,-6,-6,3
Brazil,Czechoslovakia,22021,Quarter-finals,France,1938,1938-06-12,1,1,draw,,,,,,,,,71.18102653846155,,,2,0,2,12,10,6,4,0,1,12,6,12,-6,0,-4
Hungary,Switzerland,15000,Quarter-finals,France,1938,1938-06-12,2,0,home_win,,,,,,,,,57.00994596153846,64.68190576923077,-7.671959807692303,2,0,1,11,4,6,2,1,1,10,8,7,-1,1,4
Italy,France,58455,Quarter-finals,France,1938,1938-06-12,3,1,home_win,,,,,,,,,68.45827307692308,69.714,-1.2557269230769208,4,1,0,7,3,13,2,0,3,9,7,6,7,-2,4
Sweden,Cuba,7000,Quarter-finals,France,1938,1938-06-12,8,0,home_win,,,,,,,,,62.87979807692308,50.42030499999999,12.459493076923088,1,0,1,4,4,3,1,1,0,5,4,4,-1,-1,0
Brazil,Czechoslovakia,18141,Quarter-finals,France,1938,1938-06-14,2,1,home_win,,,,,,,,,71.18102653846155,,,2,1,2,13,11,7,3,1,1,11,6,10,-3,2,-5
Italy,Brazil,33000,Semi-finals,France,1938,1938-06-16,2,1,home_win,,,,,,,,,68.45827307692308,71.18102653846155,-2.722753461538474,5,0,0,9,3,15,3,1,1,14,10,10,5,-5,7
Hungary,Sweden,20000,Semi-finals,France,1938,1938-06-16,5,1,home_win,,,,,,,,,57.00994596153846,62.87979807692308,-5.869852115384617,3,0,1,13,4,9,2,0,1,12,4,6,3,1,0
Italy,Hungary,45000,Final,France,1938,1938-06-19,4,2,home_win,,,,,,,,,68.45827307692308,57.00994596153846,11.448327115384616,5,0,0,10,4,15,4,0,1,18,5,12,3,-8,1
Brazil,Sweden,12000,Third-place match,France,1938,1938-06-19,4,2,home_win,,,,,,,,,71.18102653846155,62.87979807692308,8.301228461538471,2,1,2,11,12,7,2,0,2,13,9,6,1,-2,-3
Brazil,Mexico,81649,Group stage,Brazil,1950,1950-06-24,4,0,home_win,,,,,,,,,71.18102653846155,64.15167115384617,7.029355384615386,3,1,1,14,11,10,0,0,3,4,13,0,10,10,2
